"Name","Kind","File","Line"
"_prune_recent_fall_events","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3168"
"_remember_recent_fall_event","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3175"
"time","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3190"
"track_id","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3191"
"box","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3192"
"center","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3193"
"height","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3194"
"aspect","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3195"
"confidence","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3196"
"grounded","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3197"
"_match_recent_fall_event","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3213"
"track_id","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3248"
"time","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3249"
"score","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3250"
"grounded","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3251"
"confidence","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3252"
"_build_ui","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3257"
"choose_video","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3332"
"_on_seek_press","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3344"
"_on_seek_move","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3349"
"_on_seek_release","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3357"
"_update_seek_label","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3368"
"_format_timecode","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3386"
"_resolve_source","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3394"
"video","json-key","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3396"
"_play_alarm_once","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3419"
"_required_stable_frames","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3432"
"_stabilize_action","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3473"
"start","py-func","C:\DoAnTotNghiep\V-Shield-2.0\AI_Project\AI_An_Ninh\app.py","3577"
